Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations
SERPINI1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SERPINA4,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NECTIN1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NHSL2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NGRN,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ZNF213,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ATXN10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
ATXN3,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
B3GNT8,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
BAK1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
B3GNTL1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
B3GALNT2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
BCL7C,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NFATC2IP,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
NFE2L1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
SLC4A1AP,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453
