Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
COL6A6,20,19,1.0,0.0,0.05,0.0458937198067632,0.0,0.1451612903225805,0.05,0.0,0.0875806451612902,3.044522437723423,0,0.9700074395034815,0.6170367217666048
POLQ,21,19,4.0,0.0,0.1904761904761904,0.0458937198067632,0.0,0.1451612903225805,0.1904761904761904,0.0,0.1297235023041474,3.091042453358316,0,0.9694342172974664,0.6335499313001387
PKHD1,20,19,2.0,0.0,0.1,0.0458937198067632,0.0,0.1451612903225805,0.1,0.0,0.1025806451612902,3.044522437723423,0,0.968763102867237,0.6222901197848583
RPS6KA3,21,20,9.0,0.0,0.4285714285714285,0.0483091787439613,0.0,0.1532258064516129,0.4285714285714285,0.0,0.205184331797235,3.091042453358316,1,0.9680039959549025,0.6628761302918356
C3,19,19,1.0,0.0,0.0526315789473684,0.0458937198067632,0.0,0.1451612903225805,0.0526315789473684,0.0,0.0883701188455008,2.995732273553991,0,0.9667876894773655,0.6154206612246196
DNAH17,19,19,1.0,0.0,0.0526315789473684,0.0458937198067632,0.0,0.1451612903225805,0.0526315789473684,0.0,0.0883701188455008,2.995732273553991,0,0.9667876894773655,0.6154206612246196
FMN2,19,19,2.0,0.0,0.1052631578947368,0.0458937198067632,0.0,0.1451612903225805,0.1052631578947368,0.0,0.1041595925297113,2.995732273553991,0,0.9653407659379983,0.6208682965746835
HTT,19,19,3.0,0.0,0.1578947368421052,0.0458937198067632,0.0,0.1451612903225805,0.1578947368421052,0.0,0.1199490662139218,2.995732273553991,0,0.9638331640514279,0.6262795249164255
SPTBN1,19,19,3.0,0.0,0.1578947368421052,0.0458937198067632,0.0,0.1451612903225805,0.1578947368421052,0.0,0.1199490662139218,2.995732273553991,0,0.9638331640514279,0.6262795249164255
DCHS1,20,18,2.0,0.0,0.1,0.0434782608695652,0.0,0.1370967741935485,0.1,0.0,0.0985483870967742,3.044522437723423,0,0.9638040019055312,0.6177017559820284
MYH1,20,18,2.0,0.0,0.1,0.0434782608695652,0.0,0.1370967741935485,0.1,0.0,0.0985483870967742,3.044522437723423,0,0.9638040019055312,0.6177017559820284
FBN1,19,19,4.0,0.0,0.2105263157894736,0.0458937198067632,0.0,0.1451612903225805,0.2105263157894736,0.0,0.1357385398981323,2.995732273553991,0,0.9622625483128663,0.6316529449469727
LRP2,19,18,1.0,0.0,0.0526315789473684,0.0434782608695652,0.0,0.1370967741935485,0.0526315789473684,0.0,0.0843378607809847,2.995732273553991,0,0.9615274307487998,0.6106516027616737
RB1,22,19,14.0,0.0,0.6363636363636364,0.0458937198067632,0.0,0.1451612903225805,0.6363636363636364,0.0,0.2634897360703812,3.1354942159291497,1,0.9599516166810819,0.6813668644368015
TPO,19,18,2.0,0.0,0.1052631578947368,0.0434782608695652,0.0,0.1370967741935485,0.1052631578947368,0.0,0.1001273344651953,2.995732273553991,0,0.9598608540099031,0.6159674461920199
PXDNL,19,18,2.0,0.0,0.1052631578947368,0.0434782608695652,0.0,0.1370967741935485,0.1052631578947368,0.0,0.1001273344651953,2.995732273553991,0,0.9598608540099031,0.6159674461920199
UNC13C,19,18,2.0,0.0,0.1052631578947368,0.0434782608695652,0.0,0.1370967741935485,0.1052631578947368,0.0,0.1001273344651953,2.995732273553991,0,0.9598608540099031,0.6159674461920199
